timestamp_utc,carpark,available_spaces,total_spaces,occupancy,status,parking_option,source_last_updated
2025-12-08 12:29:05,Civic,801,928,0.1369,,Short-term,
2025-12-08 12:29:05,Downtown,1344,1944,0.3086,,Short-term,
2025-12-08 12:29:05,Ronwood,516,678,0.2389,,Short-term,
2025-12-08 12:29:05,Toka Puia,395,420,0.0595,,Short-term,
2025-12-08 12:29:05,Victoria Street,570,895,0.3631,,Short-term,
